SidoName,SggName,DisQuantityAvg,Time
경상북도,영주시,1799.7634069400629,20181210
경상북도,영주시,1830.761523046092,20181211
경상북도,영주시,1910.94839609484,20181212
경상북도,영주시,1929.1411042944785,20181213
경상북도,영주시,2002.5104602510462,20181214
경상북도,영주시,1893.3900523560212,20181215
경상북도,영주시,1942.1759747102205,20181216
경상북도,영주시,1939.624060150376,20181217
경상북도,영주시,1880.0825593395248,20181218
경상북도,영주시,1971.8620331950208,20181219
경상북도,영주시,2057.794048181389,20181220
경상북도,영주시,1968.1635388739944,20181221
경상북도,영주시,1907.239478957916,20181222
경상북도,영주시,1920.5218263923728,20181223
경상북도,영주시,1862.6194067370536,20181224
경상북도,영주시,1807.0569785676944,20181225
경상북도,영주시,1978.110944527736,20181226
경상북도,영주시,2061.176818450621,20181227
경상북도,영주시,2020.357142857143,20181228
경상북도,영주시,1934.934814099469,20181229
경상북도,영주시,1912.4524714828895,20181230
경상북도,영주시,2001.8716577540106,20181231
경상북도,영천시,1967.291666666667,20181201
경상북도,영천시,2079.1497975708508,20181202
경상북도,영천시,1937.190082644628,20181203
경상북도,영천시,1943.0041152263373,20181204
경상북도,영천시,1938.235294117647,20181205
경상북도,영천시,1988.9285714285716,20181206
경상북도,영천시,1760.9615384615383,20181207
경상북도,영천시,2114.6153846153848,20181208
경상북도,영천시,1857.2052401746728,20181209
경상북도,영천시,1769.6347031963473,20181210
경상북도,영천시,1946.75,20181211
경상북도,영천시,1968.279569892473,20181212
경상북도,영천시,2266.6666666666665,20181213
경상북도,영천시,1972.2,20181214
경상북도,영천시,1855.921052631579,20181215
경상북도,영천시,1912.0689655172412,20181216
경상북도,영천시,1707.8703703703704,20181217
경상북도,영천시,1795.8498023715415,20181218
경상북도,영천시,2116.816143497758,20181219
경상북도,영천시,2148.9626556016597,20181220
경상북도,영천시,1884.8484848484848,20181221
경상북도,영천시,1936.283185840708,20181222
경상북도,영천시,1904.3307086614166,20181223
경상북도,영천시,1950.4878048780488,20181224
경상북도,영천시,1987.333333333333,20181225
경상북도,영천시,2232.6829268292677,20181226
경상북도,영천시,2055.9360730593608,20181227
경상북도,영천시,2149.5633187772924,20181228
경상북도,영천시,2001.0245901639346,20181229
경상북도,영천시,2153.8617886178863,20181230
경상북도,영천시,1874.2574257425745,20181231
경상북도,상주시,2439.570757880617,20181201
경상북도,상주시,2291.538461538461,20181202
경상북도,상주시,2295.319812792512,20181203
경상북도,상주시,2276.6666666666665,20181204
경상북도,상주시,2253.1636363636358,20181205
경상북도,상주시,2343.1615120274914,20181206
경상북도,상주시,2314.220505617977,20181207
경상북도,상주시,2230.0,20181208
경상북도,상주시,2147.3520249221187,20181209
경상북도,상주시,2187.5296912114013,20181210
경상북도,상주시,2212.6972201352373,20181211
경상북도,상주시,2239.088983050848,20181212
경상북도,상주시,2300.789293067948,20181213
경상북도,상주시,2357.7917282127028,20181214
경상북도,상주시,2185.427952329361,20181215
경상북도,상주시,2151.0180109631947,20181216
경상북도,상주시,2259.900611620795,20181217
경상북도,상주시,2084.950343773873,20181218
경상북도,상주시,2283.698113207547,20181219
경상북도,상주시,2358.9321692411013,20181220
경상북도,상주시,2297.440519105984,20181221
경상북도,상주시,2196.6615502686113,20181222
경상북도,상주시,2149.136069114471,20181223
경상북도,상주시,2094.6252838758514,20181224
경상북도,상주시,2125.3307392996107,20181225
경상북도,상주시,2279.309063893016,20181226
경상북도,상주시,2411.9856887298747,20181227
경상북도,상주시,2368.449008498584,20181228
경상북도,상주시,2280.1314828341856,20181229
경상북도,상주시,2309.173387096774,20181230
경상북도,상주시,2155.8534743202413,20181231
경상북도,경산시,1968.247655229728,20181201
