SidoName,SggName,AptName,DisQuantityAvg,Time
경기도,수원시,연무-성원,1323.6842105263158,20180104
경기도,수원시,연무-성원,1685.2941176470588,20180105
경기도,수원시,연무-성원,1468.1818181818182,20180106
경기도,수원시,연무-성원,1987.0967741935483,20180107
경기도,수원시,연무-성원,1336.3636363636363,20180108
경기도,수원시,연무-성원,1805.5555555555557,20180109
경기도,수원시,연무-성원,1086.9565217391305,20180110
경기도,수원시,연무-성원,1447.3684210526317,20180111
경기도,수원시,연무-성원,1657.6923076923076,20180112
경기도,수원시,연무-성원,1228.8461538461538,20180113
경기도,수원시,연무-성원,1125.0,20180114
경기도,수원시,연무-성원,1393.75,20180115
경기도,수원시,연무-성원,1208.3333333333333,20180116
경기도,수원시,연무-성원,1441.6666666666667,20180117
경기도,수원시,연무-성원,1370.3703703703704,20180118
경기도,수원시,연무-성원,1169.4444444444443,20180119
경기도,수원시,연무-성원,1510.0,20180120
경기도,수원시,연무-성원,1846.4285714285713,20180121
경기도,수원시,연무-성원,1314.5833333333333,20180122
경기도,수원시,연무-성원,1225.0,20180123
경기도,수원시,연무-성원,1297.6190476190477,20180124
경기도,수원시,연무-성원,1243.75,20180125
경기도,수원시,연무-성원,1366.6666666666667,20180126
경기도,수원시,연무-성원,1629.6296296296296,20180127
경기도,수원시,연무-성원,1544.2307692307693,20180128
경기도,수원시,연무-성원,1470.0,20180129
경기도,수원시,연무-성원,781.25,20180130
경기도,수원시,연무-성원,1421.0526315789473,20180131
경기도,수원시,연무-목화,1490.7407407407406,20180101
경기도,수원시,연무-목화,1589.4736842105262,20180102
경기도,수원시,연무-목화,1919.047619047619,20180103
경기도,수원시,연무-목화,1913.4615384615386,20180104
경기도,수원시,연무-목화,1773.3333333333333,20180105
경기도,수원시,연무-목화,1347.6190476190477,20180106
경기도,수원시,연무-목화,1616.6666666666667,20180107
경기도,수원시,연무-목화,1556.5217391304348,20180108
경기도,수원시,연무-목화,1421.6666666666667,20180109
경기도,수원시,연무-목화,2122.222222222222,20180110
경기도,수원시,연무-목화,1707.5,20180111
경기도,수원시,연무-목화,1559.5238095238096,20180112
경기도,수원시,연무-목화,1500.0,20180113
경기도,수원시,연무-목화,2140.7894736842104,20180114
경기도,수원시,연무-목화,1646.0,20180115
경기도,수원시,연무-목화,1313.235294117647,20180116
경기도,수원시,연무-목화,2128.0,20180117
경기도,수원시,연무-목화,1428.0,20180118
경기도,수원시,연무-목화,1506.896551724138,20180119
경기도,수원시,연무-목화,1450.0,20180120
경기도,수원시,연무-목화,1958.3333333333333,20180121
경기도,수원시,연무-목화,1771.4285714285713,20180122
경기도,수원시,연무-목화,1581.8181818181818,20180123
경기도,수원시,연무-목화,2019.5652173913043,20180124
경기도,수원시,연무-목화,1392.5925925925926,20180125
경기도,수원시,연무-목화,1702.1739130434783,20180126
경기도,수원시,연무-목화,1584.090909090909,20180127
경기도,수원시,연무-목화,1348.0,20180128
경기도,수원시,연무-목화,1882.608695652174,20180129
경기도,수원시,연무-목화,1598.3870967741937,20180130
경기도,수원시,연무-목화,1966.6666666666667,20180131
경기도,수원시,연무-신미주,2265.5172413793102,20180101
경기도,수원시,연무-신미주,2175.0,20180102
경기도,수원시,연무-신미주,2675.0,20180103
경기도,수원시,연무-신미주,2126.785714285714,20180104
경기도,수원시,연무-신미주,2144.0298507462685,20180105
경기도,수원시,연무-신미주,2159.756097560976,20180106
경기도,수원시,연무-신미주,1962.3188405797102,20180107
경기도,수원시,연무-신미주,2023.5714285714287,20180108
경기도,수원시,연무-신미주,2374.468085106383,20180109
경기도,수원시,연무-신미주,2296.7741935483873,20180110
경기도,수원시,연무-신미주,2522.9166666666665,20180111
경기도,수원시,연무-신미주,2058.3333333333335,20180112
경기도,수원시,연무-신미주,1949.1803278688524,20180113
경기도,수원시,연무-신미주,2357.5,20180114
경기도,수원시,연무-신미주,2007.142857142857,20180115
경기도,수원시,연무-신미주,2483.0882352941176,20180116
경기도,수원시,연무-신미주,2588.3928571428573,20180117
경기도,수원시,연무-신미주,2330.3571428571427,20180118
경기도,수원시,연무-신미주,2082.5,20180119
경기도,수원시,연무-신미주,2120.0,20180120
경기도,수원시,연무-신미주,2452.2388059701493,20180121
경기도,수원시,연무-신미주,1858.7301587301588,20180122
경기도,수원시,연무-신미주,2429.4871794871797,20180123
경기도,수원시,연무-신미주,2161.3636363636365,20180124
경기도,수원시,연무-신미주,1695.2380952380952,20180125
경기도,수원시,연무-신미주,2332.9545454545455,20180126
경기도,수원시,연무-신미주,2394.2622950819673,20180127
경기도,수원시,연무-신미주,2296.6666666666665,20180128
경기도,수원시,연무-신미주,1963.7931034482758,20180129
경기도,수원시,연무-신미주,2098.9583333333335,20180130
경기도,수원시,연무-신미주,1855.5555555555557,20180131
경기도,수원시,영화-벽산,2245.714285714286,20180101
경기도,수원시,영화-벽산,1835.4166666666667,20180102
경기도,수원시,영화-벽산,1936.4864864864865,20180103
경기도,수원시,영화-벽산,1368.75,20180104
경기도,수원시,영화-벽산,1423.076923076923,20180105
경기도,수원시,영화-벽산,1317.2413793103449,20180106
경기도,수원시,영화-벽산,1952.6315789473683,20180107
경기도,수원시,영화-벽산,1548.2758620689656,20180108
경기도,수원시,영화-벽산,1550.0,20180109
경기도,수원시,영화-벽산,2183.823529411765,20180110
경기도,수원시,영화-벽산,1778.0,20180111
경기도,수원시,영화-벽산,1616.0,20180112
경기도,수원시,영화-벽산,1907.6923076923076,20180113
경기도,수원시,영화-벽산,2275.925925925926,20180114
경기도,수원시,영화-벽산,1587.037037037037,20180115
경기도,수원시,영화-벽산,2543.181818181818,20180116
경기도,수원시,영화-벽산,2560.6060606060605,20180117
경기도,수원시,영화-벽산,1653.8461538461538,20180118
경기도,수원시,영화-벽산,1575.8620689655172,20180119
경기도,수원시,영화-벽산,1697.2222222222222,20180120
경기도,수원시,영화-벽산,1812.5,20180121
경기도,수원시,영화-벽산,2441.0714285714284,20180122
경기도,수원시,영화-벽산,1459.090909090909,20180123
경기도,수원시,영화-벽산,1440.7407407407406,20180124
경기도,수원시,영화-벽산,2018.5185185185185,20180125
경기도,수원시,영화-벽산,1440.3846153846155,20180126
경기도,수원시,영화-벽산,1491.304347826087,20180127
경기도,수원시,영화-벽산,2106.25,20180128
경기도,수원시,영화-벽산,1191.304347826087,20180129
경기도,수원시,영화-벽산,1814.0,20180130
경기도,수원시,영화-벽산,2502.7027027027025,20180131
경기도,수원시,영화-동성,1995.4545454545455,20180101
경기도,수원시,영화-동성,1780.2631578947369,20180102
경기도,수원시,영화-동성,2383.3333333333335,20180103
경기도,수원시,영화-동성,1854.8387096774193,20180104
경기도,수원시,영화-동성,2537.9310344827586,20180105
경기도,수원시,영화-동성,1824.2857142857142,20180106
경기도,수원시,영화-동성,1859.4594594594594,20180107
경기도,수원시,영화-동성,1829.1666666666667,20180108
경기도,수원시,영화-동성,1933.7837837837837,20180109
경기도,수원시,영화-동성,2206.896551724138,20180110
경기도,수원시,영화-동성,1859.375,20180111
경기도,수원시,영화-동성,2226.5625,20180112
경기도,수원시,영화-동성,1975.8064516129032,20180113
경기도,수원시,영화-동성,2314.102564102564,20180114
경기도,수원시,영화-동성,2125.5102040816328,20180115
경기도,수원시,영화-동성,1540.625,20180116
경기도,수원시,영화-동성,1792.4242424242425,20180117
경기도,수원시,영화-동성,1935.2941176470588,20180118
경기도,수원시,영화-동성,1818.3333333333333,20180119
경기도,수원시,영화-동성,1910.2941176470588,20180120
경기도,수원시,영화-동성,1545.1612903225807,20180121
경기도,수원시,영화-동성,2098.6486486486488,20180122
경기도,수원시,영화-동성,2086.25,20180123
경기도,수원시,영화-동성,1625.0,20180124
경기도,수원시,영화-동성,2073.076923076923,20180125
경기도,수원시,영화-동성,2604.6875,20180126
경기도,수원시,영화-동성,2064.4736842105262,20180127
경기도,수원시,영화-동성,2223.214285714286,20180128
경기도,수원시,영화-동성,1832.4324324324325,20180129
경기도,수원시,영화-동성,2437.8048780487807,20180130
경기도,수원시,영화-동성,1498.2758620689656,20180131
경기도,수원시,영화-태영,1836.25,20180101
경기도,수원시,영화-태영,1487.837837837838,20180102
경기도,수원시,영화-태영,1451.923076923077,20180103
경기도,수원시,영화-태영,1640.3846153846155,20180104
경기도,수원시,영화-태영,1670.967741935484,20180105
경기도,수원시,영화-태영,2085.483870967742,20180106
경기도,수원시,영화-태영,1484.4827586206898,20180107
경기도,수원시,영화-태영,1482.4324324324325,20180108
경기도,수원시,영화-태영,1310.4166666666667,20180109
경기도,수원시,영화-태영,1620.967741935484,20180110
경기도,수원시,영화-태영,1438.6363636363637,20180111
경기도,수원시,영화-태영,2486.764705882353,20180112
경기도,수원시,영화-태영,1179.6296296296296,20180113
경기도,수원시,영화-태영,1734.8837209302326,20180114
경기도,수원시,영화-태영,1607.3529411764705,20180115
경기도,수원시,영화-태영,1557.5,20180116
경기도,수원시,영화-태영,1436.3636363636363,20180117
경기도,수원시,영화-태영,1423.076923076923,20180118
경기도,수원시,영화-태영,1755.5555555555557,20180119
경기도,수원시,영화-태영,1641.9354838709678,20180120
경기도,수원시,영화-태영,1825.6756756756756,20180121
경기도,수원시,영화-태영,1789.3939393939395,20180122
경기도,수원시,영화-태영,1259.5238095238096,20180123
경기도,수원시,영화-태영,1771.7391304347825,20180124
경기도,수원시,영화-태영,1677.7777777777778,20180125
경기도,수원시,영화-태영,1735.0,20180126
